id,first_name,last_name,date_of_fee_submission,Semester,,,,,
311111,James  ,Taylor  ,7/1/2005,1,,,,,
311112,Ava  ,Moore  ,10/1/2005,1,,,,,
311113,Sophia  ,Harris  ,15-1-2005  ,1,,,,,
311114,Benjamin  ,Ward  ,18-1-2005  ,1,,,,,
311115,William  ,Morgan  ,20-1-2005  ,1,,,,,
311116,Ella  ,Evans  ,22-1-2005  ,1,,,,,
311117,Charlotte  ,Parker  ,25-1-2005  ,1,,,,,
311118,Alexander  ,Cooper  ,28-1-2005  ,1,,,,,
311119,Lucas  ,Bennett  ,30-1-2005  ,1,,,,,
311111,James  ,Taylor  ,12/2/2005,2,,,,,
311112,Ava  ,Moore  ,14-2-2005  ,2,,,,,
311113,Sophia  ,Harris  ,16-2-2005  ,2,,,,,QA
311114,Benjamin  ,Ward  ,18-2-2005  ,2,,,,,
311115,William  ,Morgan  ,20-2-2005  ,2,,,,,
311116,Ella  ,Evans  ,23-2-2005  ,2,,,,,
311117,Charlotte  ,Parker  ,25-2-2005  ,2,,,,,
311118,Alexander  ,Cooper  ,28-2-2005  ,2,,,,,
311119,Lucas  ,Bennett  ,1/3/2005,2,,,,,
311111,James  ,Taylor  ,10/3/2005,3,,,,,
311112,Ava  ,Moore  ,12/3/2005,3,,,,,
311113,Sophia  ,Harris  ,15-3-2005  ,3,,,,,
311114,Benjamin  ,Ward  ,18-3-2005  ,3,,,,,
311115,William  ,Morgan  ,20-3-2005  ,3,,,,,
311116,Ella  ,Evans  ,23-3-2005  ,3,,,,,
311117,Charlotte  ,Parker  ,25-3-2005  ,3,,,,,
311118,Alexander  ,Cooper  ,28-3-2005  ,3,,,,,
311119,Lucas  ,Bennett  ,31-3-2005  ,3,,,,,
311111,James  ,Taylor  ,5/4/2005,4,,,,,
311112,Ava  ,Moore  ,8/4/2005,4,,,,,
311113,Sophia  ,Harris  ,10/4/2005,4,,,,,
311114,Benjamin  ,Ward  ,13-4-2005  ,4,,,,,
311115,William  ,Morgan  ,15-4-2005  ,4,,,,,
311116,Ella  ,Evans  ,18-4-2005  ,4,,,,,
311117,Charlotte  ,Parker  ,20-4-2005  ,4,,,,,
311118,Alexander  ,Cooper  ,23-4-2005  ,4,,,,,
311119,Lucas  ,Bennett  ,25-4-2005  ,4,,,,,
